open,high,low,close,volume,symbol,datetime_est,momentum_signal,mean_reversion_signal,breakout_signal,reversal_signal,vwap_trend_signal,ema_12_26_signal,scalping_signal,heikin_ashi_signal,market_regime_ADX,market_regime_MA,volatility
5346.75,5347.0,5346.0,5346.75,1693,ESM4,2024-05-20 11:30:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1.2223714325197306
5346.75,5347.5,5346.0,5346.25,2492,ESM4,2024-05-20 11:31:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1.2362373672280402
5346.25,5348.0,5346.25,5347.75,2208,ESM4,2024-05-20 11:32:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1.3003010528835919
5347.75,5348.25,5347.25,5348.0,2196,ESM4,2024-05-20 11:33:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,bull,1.3688452701397456
5348.0,5348.25,5347.5,5347.75,1406,ESM4,2024-05-20 11:34:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,bull,1.396650032390955
5347.75,5347.75,5347.25,5347.5,1355,ESM4,2024-05-20 11:35:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,bull,1.4266139185404385
5347.25,5347.75,5347.0,5347.0,1755,ESM4,2024-05-20 11:36:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,bull,1.4477865375916243
5347.0,5347.5,5346.75,5347.0,1196,ESM4,2024-05-20 11:37:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,bull,1.468310029687073
5347.0,5347.25,5346.5,5347.25,1657,ESM4,2024-05-20 11:38:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,bull,1.4920242502993277
5347.25,5347.25,5345.5,5346.5,1499,ESM4,2024-05-20 11:39:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,bull,1.4964182826377317
5346.5,5346.5,5344.5,5345.5,2373,ESM4,2024-05-20 11:40:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,bull,1.4964182826377317
5345.25,5345.75,5345.0,5345.5,1331,ESM4,2024-05-20 11:41:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,bull,1.496987716070808
5345.5,5345.75,5344.25,5344.25,1223,ESM4,2024-05-20 11:42:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,bull,1.5024601037901983
