open,high,low,close,volume,symbol,datetime_est,momentum_signal,mean_reversion_signal,breakout_signal,reversal_signal,vwap_trend_signal,ema_12_26_signal,scalping_signal,heikin_ashi_signal,market_regime_ADX,market_regime_MA,volatility
5328.0,5329.5,5326.75,5329.25,9776,ESM4,2024-05-20 09:30:00,SELL,HOLD,SELL,HOLD,HOLD,HOLD,SELL,SELL,range-bound,bear,0.8153359597565794
5329.25,5330.75,5328.75,5330.5,5081,ESM4,2024-05-20 09:31:00,HOLD,HOLD,BUY,HOLD,HOLD,HOLD,SELL,BUY,range-bound,bear,0.8187357832827868
5330.5,5332.0,5330.5,5332.0,4908,ESM4,2024-05-20 09:32:00,BUY,HOLD,BUY,HOLD,HOLD,HOLD,SELL,BUY,range-bound,bear,0.8643106086830696
5332.0,5332.25,5331.25,5331.75,3434,ESM4,2024-05-20 09:33:00,BUY,HOLD,HOLD,HOLD,HOLD,BUY,HOLD,BUY,range-bound,bear,0.8746572200150767
5331.75,5333.5,5331.5,5333.5,3494,ESM4,2024-05-20 09:34:00,BUY,HOLD,HOLD,HOLD,HOLD,BUY,HOLD,BUY,range-bound,bear,0.9738370427631836
5333.25,5334.25,5333.25,5334.0,4288,ESM4,2024-05-20 09:35:00,HOLD,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,range-bound,range-bound,1.0905065545211274
5334.25,5334.5,5333.0,5333.5,2826,ESM4,2024-05-20 09:36:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1.190635811809149
5333.5,5334.25,5332.5,5334.25,3598,ESM4,2024-05-20 09:37:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1.3286613221921568
5334.0,5334.5,5333.5,5334.0,3083,ESM4,2024-05-20 09:38:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1.4422161328093546
5333.75,5334.25,5333.25,5333.25,2621,ESM4,2024-05-20 09:39:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1.5043077873858648
5333.25,5334.5,5333.25,5333.5,2669,ESM4,2024-05-20 09:40:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1.5634315404952859
5333.5,5333.5,5332.25,5333.0,2983,ESM4,2024-05-20 09:41:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1.6057425356843136
5333.0,5335.0,5333.0,5335.0,2624,ESM4,2024-05-20 09:42:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1.7346367476969573
5335.0,5335.0,5333.25,5334.0,1877,ESM4,2024-05-20 09:43:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1.798428045360393
5334.0,5334.0,5333.25,5333.75,1760,ESM4,2024-05-20 09:44:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1.8458252103234107
5334.0,5335.0,5333.25,5335.0,3527,ESM4,2024-05-20 09:45:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1.941830855327281
5335.25,5335.25,5334.5,5335.25,2112,ESM4,2024-05-20 09:46:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,2.041055876477242
5335.0,5336.0,5334.5,5335.75,2172,ESM4,2024-05-20 09:47:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,2.146349967225849
