open,high,low,close,volume,symbol,datetime_est,momentum_signal,mean_reversion_signal,breakout_signal,reversal_signal,vwap_trend_signal,ema_12_26_signal,scalping_signal,heikin_ashi_signal,market_regime_ADX,market_regime_MA,volatility
5334750000000,5335000000000,5334250000000,5334750000000,1793,ESM4,2024-05-20 14:00:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,bear,3016505520.5728188
5334500000000,5335500000000,5334500000000,5335250000000,1047,ESM4,2024-05-20 14:01:00,HOLD,HOLD,HOLD,BUY,HOLD,HOLD,HOLD,BUY,range-bound,bear,2788380019.1866803
5335000000000,5335250000000,5334000000000,5334750000000,1280,ESM4,2024-05-20 14:02:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,bear,2580863922.3990088
5334500000000,5334750000000,5333000000000,5333750000000,1503,ESM4,2024-05-20 14:03:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,bear,2425011715.0769105
5333750000000,5333750000000,5333000000000,5333250000000,729,ESM4,2024-05-20 14:04:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,bear,2269667131.7538366
5333250000000,5333500000000,5332750000000,5333500000000,1129,ESM4,2024-05-20 14:05:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,trending,bear,2125601519.1595123
5333250000000,5333500000000,5332500000000,5333000000000,1657,ESM4,2024-05-20 14:06:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,trending,bear,1984758846.0152586
5333000000000,5333000000000,5331500000000,5332500000000,2193,ESM4,2024-05-20 14:07:00,SELL,HOLD,SELL,HOLD,HOLD,HOLD,SELL,SELL,trending,bear,1898381155.1335123
5332250000000,5332500000000,5323750000000,5327500000000,15707,ESM4,2024-05-20 14:08:00,HOLD,BUY,SELL,HOLD,HOLD,HOLD,SELL,SELL,trending,bear,2089037645.158257
5327500000000,5330250000000,5324750000000,5330000000000,7365,ESM4,2024-05-20 14:09:00,SELL,HOLD,SELL,HOLD,HOLD,HOLD,SELL,SELL,trending,bear,2070765119.919235
5330000000000,5330250000000,5328750000000,5329500000000,4041,ESM4,2024-05-20 14:10:00,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,trending,bear,2052160723.8262582
