open,high,low,close,volume,symbol,datetime_est,momentum_signal,mean_reversion_signal,breakout_signal,reversal_signal,vwap_trend_signal,ema_12_26_signal,scalping_signal,heikin_ashi_signal,market_regime_ADX,market_regime_MA,volatility
5346750000000,5347000000000,5346000000000,5346750000000,1693,ESM4,2024-05-20 11:30:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1222371432.6859
5346750000000,5347500000000,5346000000000,5346250000000,2492,ESM4,2024-05-20 11:31:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1236237367.3926938
5346250000000,5348000000000,5346250000000,5347750000000,2208,ESM4,2024-05-20 11:32:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1300301053.0408688
5347750000000,5348250000000,5347250000000,5348000000000,2196,ESM4,2024-05-20 11:33:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,bull,1368845270.2898653
5348000000000,5348250000000,5347500000000,5347750000000,1406,ESM4,2024-05-20 11:34:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,bull,1396650032.5383048
5347750000000,5347750000000,5347250000000,5347500000000,1355,ESM4,2024-05-20 11:35:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,bull,1426613918.6849935
5347250000000,5347750000000,5347000000000,5347000000000,1755,ESM4,2024-05-20 11:36:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,bull,1447786537.7343621
5347000000000,5347500000000,5346750000000,5347000000000,1196,ESM4,2024-05-20 11:37:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,bull,1468310029.8281267
5347000000000,5347250000000,5346500000000,5347250000000,1657,ESM4,2024-05-20 11:38:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,bull,1492024250.4384634
5347250000000,5347250000000,5345500000000,5346500000000,1499,ESM4,2024-05-20 11:39:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,bull,1496418282.7765472
