open,high,low,close,volume,symbol,datetime_est,momentum_signal,mean_reversion_signal,breakout_signal,reversal_signal,vwap_trend_signal,ema_12_26_signal,scalping_signal,heikin_ashi_signal,market_regime_ADX,market_regime_MA,volatility
5328000000000,5329500000000,5326750000000,5329250000000,9776,ESM4,2024-05-20 09:30:00,SELL,HOLD,SELL,HOLD,HOLD,HOLD,SELL,SELL,range-bound,bear,815335959.7020593
5329250000000,5330750000000,5328750000000,5330500000000,5081,ESM4,2024-05-20 09:31:00,HOLD,HOLD,BUY,HOLD,HOLD,HOLD,SELL,BUY,range-bound,bear,818735783.2286887
5330500000000,5332000000000,5330500000000,5332000000000,4908,ESM4,2024-05-20 09:32:00,BUY,HOLD,BUY,HOLD,HOLD,HOLD,SELL,BUY,range-bound,bear,864310608.632257
5332000000000,5332250000000,5331250000000,5331750000000,3434,ESM4,2024-05-20 09:33:00,BUY,HOLD,HOLD,HOLD,SELL,BUY,HOLD,BUY,range-bound,bear,874657219.9649445
5331750000000,5333500000000,5331500000000,5333500000000,3494,ESM4,2024-05-20 09:34:00,BUY,HOLD,HOLD,HOLD,HOLD,BUY,HOLD,BUY,range-bound,bear,973837042.718552
5333250000000,5334250000000,5333250000000,5334000000000,4288,ESM4,2024-05-20 09:35:00,HOLD,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,range-bound,range-bound,1090506554.4817297
5334250000000,5334500000000,5333000000000,5333500000000,2826,ESM4,2024-05-20 09:36:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1190635811.773596
5333500000000,5334250000000,5332500000000,5334250000000,3598,ESM4,2024-05-20 09:37:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1328661322.160922
5334000000000,5334500000000,5333500000000,5334000000000,3083,ESM4,2024-05-20 09:38:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1442216132.7812173
5333750000000,5334250000000,5333250000000,5333250000000,2621,ESM4,2024-05-20 09:39:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1504307787.359532
5333250000000,5334500000000,5333250000000,5333500000000,2669,ESM4,2024-05-20 09:40:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1563431540.4707408
5333500000000,5333500000000,5332250000000,5333000000000,2983,ESM4,2024-05-20 09:41:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1605742535.6610105
5333000000000,5335000000000,5333000000000,5335000000000,2624,ESM4,2024-05-20 09:42:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1734636747.6762965
5335000000000,5335000000000,5333250000000,5334000000000,1877,ESM4,2024-05-20 09:43:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1798428045.3412113
5334000000000,5334000000000,5333250000000,5333750000000,1760,ESM4,2024-05-20 09:44:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,1845825210.3054101
5334000000000,5335000000000,5333250000000,5335000000000,3527,ESM4,2024-05-20 09:45:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,1941830855.311
5335250000000,5335250000000,5334500000000,5335250000000,2112,ESM4,2024-05-20 09:46:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,2041055876.4625385
5335000000000,5336000000000,5334500000000,5335750000000,2172,ESM4,2024-05-20 09:47:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,2146349967.2127683
5335750000000,5337000000000,5335500000000,5336000000000,5046,ESM4,2024-05-20 09:48:00,BUY,HOLD,BUY,HOLD,HOLD,HOLD,BUY,BUY,range-bound,range-bound,2245759190.8692374
5336000000000,5337000000000,5336000000000,5337000000000,2381,ESM4,2024-05-20 09:49:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,2374940190.622522
5337000000000,5340500000000,5337000000000,5340250000000,11418,ESM4,2024-05-20 09:50:00,HOLD,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,range-bound,range-bound,2676921569.799581
5340250000000,5341750000000,5340000000000,5341250000000,4911,ESM4,2024-05-20 09:51:00,HOLD,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,2998863421.0542912
5341500000000,5342250000000,5340250000000,5340500000000,5555,ESM4,2024-05-20 09:52:00,HOLD,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,range-bound,range-bound,3231952610.5327196
5340250000000,5342000000000,5340000000000,5341500000000,3896,ESM4,2024-05-20 09:53:00,HOLD,SELL,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,3496273268.445232
5341750000000,5343750000000,5341750000000,5343250000000,6039,ESM4,2024-05-20 09:54:00,HOLD,SELL,BUY,HOLD,HOLD,HOLD,BUY,BUY,range-bound,range-bound,3825807830.4497237
5343500000000,5343750000000,5342000000000,5343250000000,3882,ESM4,2024-05-20 09:55:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,4112166292.374723
5343250000000,5344750000000,5343250000000,5343750000000,4048,ESM4,2024-05-20 09:56:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,4387338301.718348
5344000000000,5344500000000,5343000000000,5343250000000,2756,ESM4,2024-05-20 09:57:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,4594463070.815188
5343500000000,5343750000000,5342750000000,5343750000000,2334,ESM4,2024-05-20 09:58:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,4786640974.439406
5343500000000,5345000000000,5343500000000,5344000000000,3453,ESM4,2024-05-20 09:59:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,4961677634.581106
5344000000000,5345000000000,5342250000000,5342500000000,6148,ESM4,2024-05-20 10:00:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,5057759814.725066
5342500000000,5342500000000,5340750000000,5340750000000,5038,ESM4,2024-05-20 10:01:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,5099298080.040956
5340750000000,5341250000000,5340000000000,5340750000000,3341,ESM4,2024-05-20 10:02:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,5113713242.97101
5341000000000,5342000000000,5340500000000,5342000000000,1856,ESM4,2024-05-20 10:03:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,5155615012.939429
5342000000000,5342750000000,5341750000000,5341750000000,2235,ESM4,2024-05-20 10:04:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,5188024039.495172
5342000000000,5342000000000,5340500000000,5340750000000,2475,ESM4,2024-05-20 10:05:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,5178304342.024297
5340750000000,5341500000000,5339500000000,5341500000000,3271,ESM4,2024-05-20 10:06:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,5174462593.4835615
5341500000000,5342750000000,5341250000000,5341500000000,2309,ESM4,2024-05-20 10:07:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,5158240930.29811
